trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
221,False,"{'a': 0.2, 'e': 0.11080315836233387}",25,11,21.340492233382534,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.2, 'e': 0.10970064851551141}",20,0,7.06825155454821,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
223,False,"{'a': 0.2, 'e': 0.10860910882495796}",20,12,5.332490717253451,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
224,False,"{'a': 0.2, 'e': 0.10752843013579495}",20,0,7.413924692248628,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
225,False,"{'a': 0.2, 'e': 0.1064585043792528}",25,13,22.582448981713227,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.2, 'e': 0.10539922456186433}",25,5,29.474416570122397,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.2, 'e': 0.104350484754765}",20,0,-22.77141761718264,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
228,False,"{'a': 0.2, 'e': 0.1033121800831002}",20,3,25.74495331775701,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.2, 'e': 0.10228420671553744}",30,0,0.08042441774146047,"{0: 25, 1: 3, 2: 2, 3: 0, 4: 0}",0
230,False,"{'a': 0.2, 'e': 0.1012664618538834}",25,11,13.783699344343164,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
231,False,"{'a': 0.2, 'e': 0.1002588437228037}",25,20,8.334696895938132,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.2, 'e': 0.09926125155964566}",20,0,31.23950394651578,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
233,False,"{'a': 0.2, 'e': 0.09827358560436154}",35,12,33.48132780770102,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.2, 'e': 0.09729574708953276}",30,15,23.181650395338103,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.2, 'e': 0.09632763823049303}",25,3,24.526624529888526,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
236,False,"{'a': 0.2, 'e': 0.09536916221554961}",20,13,13.09471752495791,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.2, 'e': 0.09442022319630235}",30,3,21.204798314018593,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 0}",1
238,False,"{'a': 0.2, 'e': 0.09348072627805847}",30,7,39.623257867942286,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.2, 'e': 0.09255057751034329}",25,17,15.431402657301097,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
